Number,Reaction,(E/R)/K,E/kcal mol⁻¹,E/KJ mol⁻¹,A,k,n,Temp./K,Radical Source,System,Reference,Notes,Reference_Text
522,O+NO+M→NO₂+M,-265,,,6.03E-32,,,298,Modulated N₂O/Hg*,Direct,177,"193.29,208,209","Nip, W. S., Singleton, D. L., and Cvetanović, R. J., Can. J. Chem., 57, 949,"
523,I+NO+M→INO+M,,,,,1.79E-32,-1,300,,,191,"200,207,209","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
524,I+NO+M→INO+M,,,,,2.76E-35,0,300,,,191,"193.29,208,209","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
525,I+NO₂+M→INO₂+M,,,,,3.03E-31,-1,300,,,191,"178,179","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
526,I+NO₂+M→INO₂+M,,,,,1.10E-34,0,300,,,191,"178,180","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
527,O+NO+M→NO₂+M,-588,,,1.78E-32,,,554,Modulated N₂O/Hg*,Direct,173,"178,184","Singleton, D. L. and Cvetanović, R. J., Can. J. Chem., 56, 2934, 1978."
528,O+NO+M→NO₂+M,-619,,,1.66E-32,,,554,Modulated N₂O/Hg*,Direct,173,"200,207,209","Singleton, D. L. and Cvetanović, R. J., Can. J. Chem., 56, 2934, 1978."
529,O+NO+M→NO₂+M,-265,,,6.03E-32,,,574,Modulated N₂O/Hg*,Direct,177,"193.29,208,209","Nip, W. S., Singleton, D. L., and Cvetanović, R. J., Can. J. Chem., 57, 949,"
530,O+NO+M→NO₂+M,,,,,1.21E-31,-1.8,200,,,192,"200,207,209","DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modeling, JPL Publ., Pasadena, Calif., 1983, 83."
531,O+NO+M→NO₂+M,,,,,5.02E-35,0,200,,,192,"193.29,208,209","DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modeling, JPL Publ., Pasadena, Calif., 1983, 83."
532,O+NO+M→NO₂+M,,,,,4.96E-35,0.3,300,,,191,"178,179","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
533,O+NO+M→NO₂+M,,,,,1.21E-31,-1.8,300,,,192,"178,180","DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modeling, JPL Publ., Pasadena, Calif., 1983, 83."
534,O+NO+M→NO₂+M,,,,,5.02E-35,0,300,,,192,"178,184","DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modeling, JPL Publ., Pasadena, Calif., 1983, 83."
535,O+NO+M→NO₂+M,,,,,4.96E-35,0.3,1500,,,191,"200,201,207","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
536,O+NO+He→NO₂+He,,,,,4.17E-32,0,298,N+NO→O+N₂,Direct,181,"193,200,201,208","Sugawara, K., Ishikawa, Y., and Sato, S., Bull. Chem. Soc. Jpn., 53, 3159, 1980."
537,O+NO+N₂→NO₂+N₂,,,,,7.77E-32,0,298,N+NO→O+N₂,Direct,181,"200,208","Sugawara, K., Ishikawa, Y., and Sato, S., Bull. Chem. Soc. Jpn., 53, 3159, 1980."
538,O+NO+N₂→NO₂+N₂,,,,,1.10E-31,0,299,NO (F.P.),Direct,193,"200,201,207","Atkinson, R. and Pitts, J. N., Jr., Int. J. Chem. Kinet., 10, 1081, 1978."
539,O+NO+N₂→NO₂+N₂,,,,,9.93E-32,-1.6,200,,,191,"193,200,201,208","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
540,O+NO+Ar→NO₂+Ar,-508,,,1.26E-32,,,237,NO (F.P.),Direct,175,"200,208","Anderson, L. G. and Stephens, R. D., J. Photochem., 11, 293, 1979."
541,O+NO+O₂→NO₂+O₂,,,,,8.55E-32,-1.8,200,,,191,"188,189","Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
542,O+NO+N₂→NO₂+N₂,,,,,9.93E-32,-1.6,300,,,191,188,"Baulch, D. L., Cox, R. A., Hampson, R. F., Kerr, J. A., Troe, J., and Watson, R. T., J. Phys. Chem. Ref. Data, 13, 1259, 1984."
543,O+NO+Ar→NO₂+Ar,-508,,,1.26E-32,,,397,NO (F.P.),Direct,175,202,"Anderson, L. G. and Stephens, R. D., J. Photochem., 11, 293, 1979."
544,O+NO+SO₂→NO₂+SO₂,,,,,8.55E-32,0,299,NO (F.P.),Direct,193,200,"Atkinson, R. and Pitts, J. N., Jr., Int. J. Chem. Kinet., 10, 1081, 1978."
545,O+NO₂+M→NO₃+M,,,,,8.27E-32,-2,200,,,192,182,"DeMore, W. B., Molina, M. J., Watson, R. T., Golden, D. M., Hampson, R. F., Kurylo, M. J., Howard, C. J., and Ravishankara, A. R., Chemical Kinetics and Photochemical Data for Use in Stratospheric Modeling, JPL Publ., Pasadena, Calif., 1983, 83."
