Number,Reaction,(E/R)/K,E/kcal mol⁻¹,E/KJ mol⁻¹,A,k,n,Temp./K,Radical Source,System,Reference,Notes,Reference_Text
1,H+O₂+M→HO₂+M,,,,,1.02E-32,0,1720,H₂/O₂,,1,1,"Fenimore, C. P. and Moore, J., Combust. Flame, 22, 343, 1974."
2,H+O₂+M→HO₂+M,,,,,1.74E-32,0,2030,H₂/O₂,,1,1,"Fenimore, C. P. and Moore, J., Combust. Flame, 22, 343, 1974."
3,H+O₂+H₂→HO₂+H₂,,,,,1.20E-32,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
4,H+O₂+H₂→HO₂+H₂,,,,,5.90E-32,0,298,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
5,H+O₂+He→HO₂+He,,,,,7.42E-33,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
6,H+O₂+He→HO₂+He,,,,,1.86E-32,0,298,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
7,H+O₂+He→HO₂+He,,,,,1.48E-32,0,294,H₂ Discharge,,3a,3,"Hislop, J. R. and Wayne, R. P., J. Chem. Soc., Faraday Trans. 1, 73, 506, 1977."
8,H+O₂+Ne→HO₂+Ne,,,,,1.52E-32,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
9,H+O₂+Ar→HO₂+Ar,,,,,6.03E-33,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
10,H+O₂+Ar→HO₂+Ar,,-0.69,-2.9,6.75E-33,,,220,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
11,H+O₂+Ar→HO₂+Ar,,-0.69,-2.9,6.75E-33,,,360,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
12,H+O₂+Ar→HO₂+Ar,,,,,5.79E-30,-1,200,H₂/O₂,(S.T.),3b,4,"Slack, M. W., Combust. Flame, 28, 241, 1977."
13,H+O₂+Ar→HO₂+Ar,,,,,5.79E-30,-1,2200,H₂/O₂,(S.T.),3b,4,"Slack, M. W., Combust. Flame, 28, 241, 1977."
14,H+O₂+Kr→HO₂+Kr,,,,,1.10E-32,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
15,H+O₂+N₂→HO₂+N₂,,,,,5.50E-32,0,298,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
16,H+O₂+N₂→HO₂+N₂,,,,,1.85E-28,-1.42,200,H₂/O₂,(S.T.),3b,4,"Slack, M. W., Combust. Flame, 28, 241, 1977."
17,H+O₂+N₂→HO₂+N₂,,,,,1.85E-28,-1.42,2200,H₂/O₂,(S.T.),3b,4,"Slack, M. W., Combust. Flame, 28, 241, 1977."
18,H+O₂+O₂→HO₂+O₂,,,,,6.93E-33,0,1900,CH₄/O₂,(T),4,5,"Peeters, J. and Mahnen, G., 14th Symp. (Int.) Combust., The Combustion Institute, Pittsburgh, 1973, 133."
19,H+O₂+CH₄→HO₂+CH₄,,,,,4.20E-31,0,298,CH₄,(F.P.),3,2,"Wong, W. and Davis, D. D., Int. J. Chem. Kinet., 6, 401, 1974."
20,H+O₂+HO→HO₂+HO,,,,,5.50E-37,0,1103,H₂/O₂,(S.T.),5,,"Belles, F. E. and Lauver, M. R., J. Chem. Phys., 40, 415, 1964."
21,H+O₂+HO→HO₂+HO,,,,,1.38E-36,0,1475,H₂/O₂/Ar,(S.T.),6,,"Zaslonko, I. S., Kogarko, S., and Mozzhuklin, E. V., Kinet. Katal., 10, 1197, 1969."
22,H+O₂+HO→HO₂+HO,,,,,5.50E-37,0,1903,H₂/O₂,(S.T.),5,,"Belles, F. E. and Lauver, M. R., J. Chem. Phys., 40, 415, 1964."
23,H+O₂+HO→HO₂+HO,,,,,1.38E-36,0,1100,H₂/O₂/Ar,(S.T.),6,,"Zaslonko, I. S., Kogarko, S., and Mozzhuklin, E. V., Kinet. Katal., 10, 1197, 1969."
24,H+CO+H₂→HCO+H₂,,,,,7.95E-33,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
25,H+CO+H₂→HCO+H₂,,2,8.4,,,,298,H₂,,7,"2,6","Wang, H. Y., Eyre, J. A., and Dorfman, L. M., J. Chem. Phys., 59, 5199, 1973."
26,H+CO+H₂→HCO+H₂,,2,8.4,,,,373,H₂,,7,"2,6","Wang, H. Y., Eyre, J. A., and Dorfman, L. M., J. Chem. Phys., 59, 5199, 1973."
27,H+CO+H₂→HCO+H₂,,,,,6.32E-34,0,773,H₂/O₂/CO,(T),8,7,"Baldwin, R. R., Jackson, D., Melvin, A., and Rossiter, B. N., Int. J. Chem. Kinet., 4, 277, 1972."
28,H+CO+He→HCO+He,,,,,6.17E-33,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
29,H+CO+Ne→HCO+Ne,,,,,4.79E-33,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
30,H+CO+Ar→HCO+Ar,,,,,6.03E-33,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
31,H+CO+Kr→HCO+Kr,,,,,6.93E-33,0,294,H₂/Hg*,,2,2,"Michael, J. V. and Osbourne, D. R., J. Chem. Phys., 57, 3736, 1972."
32,H+SO₂+M→HSO₂+M,,,,,1.29E-32,0,1666,H₂/O₂/N₂,,9,1,"Kallend, A. S., Combust. Flame, 19, 227, 1972."
33,H+SO₂+M→HSO₂+M,,,,,1.29E-32,0,2123,H₂/O₂/N₂,,9,1,"Kallend, A. S., Combust. Flame, 19, 227, 1972."
34,2H+C₂N₂→2HCN,,,,,1.10E-30,0,300,C₂N₂/H₂ Discharge,,10,,"Dunn, M. R., Freeman, C. G., McEvan, M. J., and Phillips, L. F., J. Phys. Chem., 75, 2662, 1971."
35,O+O₂+N₂→O₃+N₂,,,,,6.32E-34,0,295,NO₂/O₂,(P),11,8,"Hippler, H., Schippett, C., and Troe, J., Int. J. Chem. Kinet. Symp., 1, 27, 1975."
36,O+O₂+O₂→O₃+O₂,,,,,6.32E-34,0,294,O₃,(T),60,,"Hogan, L. G. and Burch, D. S., J. Chem. Phys., 65, 894, 1976."
37,O+CO+Ar→CO₂+Ar,,,,,9.78E-36,0,296,CO₂,(F.P.),12,,"Inn, E. C. Y., J. Chem. Phys., 59, 5431, 1973."
38,O+CO+Ar→CO₂+Ar,,,,,1.59E-34,0,2100,N₂O/CO,(S.T.),13,9,"Dean, A. M. and Steiner, D. C., J. Chem. Phys., 66, 598, 1977."
39,O+CO+Ar→CO₂+Ar,,,,,1.59E-34,0,3200,N₂O/CO,(S.T.),13,9,"Dean, A. M. and Steiner, D. C., J. Chem. Phys., 66, 598, 1977."
40,O+CO+N₂→CO₂+N₂,,,,,2.29E-36,0,296,CO₂,(P),14,10,"Slanger, T. G., Wood, B. J., and Black, G., J. Chem. Phys., 57, 233, 1972."
41,O+CO+O₂→CO₂+O₂,,,,,4.27E-34,0,470,,(T),15,11,"Intezarova, E. I. and Kondratiev, V. N., Kinet. Katal., 9, 395, 1968."
42,O+CO+CO→CO₂+CO,,4.34,18.2,6.46E-33,,,,CO₂,(P),14,10,"Slanger, T. G., Wood, B. J., and Black, G., J. Chem. Phys., 57, 233, 1972."
43,O+CO+CO→CO₂+CO,,4.34,18.2,6.61E-33,,,250,,,16,12,"Baulch, D. L., Drysdale, D. D., Duxbury, J., and Grant, S., Evaluated Ki- netic Data for High Temperature Reactions, Vol. 3, Butterworths, London, 1976."
44,O+CO+CO→CO₂+CO,,4.34,18.2,6.61E-33,,,500,,,16,12,"Baulch, D. L., Drysdale, D. D., Duxbury, J., and Grant, S., Evaluated Ki- netic Data for High Temperature Reactions, Vol. 3, Butterworths, London, 1976."
45,O+CO+CO→CO₂+CO,,,,,<1.0011477951E-34,0,470,,(T),15,11,"Intezarova, E. I. and Kondratiev, V. N., Kinet. Katal., 9, 395, 1968."
46,O+CO+CO→CO₂+CO,,,,,4.47E-36,0,296,CO₂,(F.P.),12,,"Inn, E. C. Y., J. Chem. Phys., 59, 5431, 1973."
47,O+CO+CO₂→CO₂+CO₂,,,,,5.38E-36,0,296,CO₂,(F.P.),12,,"Inn, E. C. Y., J. Chem. Phys., 59, 5431, 1973."
48,O+CO+CO₂→CO₂+CO₂,,,,,6.17E-36,0,296,CO₂,(F.P.),14,10,"Slanger, T. G., Wood, B. J., and Black, G., J. Chem. Phys., 57, 233, 1972."
49,O+CO+CO₂→CO₂+CO₂,,3.5,14.8,2.21E-33,,,254,CO₂,(F.P.),17,,"Inn, E. C. Y., J. Chem. Phys., 61, 741, 1974."
50,O+CO+N₂O→CO₂+N₂O,,4.1,17.2,1.62E-32,,,298,N₂O/Hg*,,18,13,"Simonaitis, R. and Heicklen, J., J. Chem. Phys., 56, 2004, 1972."
51,O+CO+N₂O→CO₂+N₂O,,2.9,12.1,4.37E-38,,,298,N₂O/Hg*,,18,"7,13","Simonaitis, R. and Heicklen, J., J. Chem. Phys., 56, 2004, 1972."
52,O+CO+CO₂→CO₂+CO₂,,3.5,14.8,2.21E-33,,,2996,CO₂,(F.P.),17,,"Inn, E. C. Y., J. Chem. Phys., 61, 741, 1974."
53,O+CO+N₂O→CO₂+N₂O,,4.1,17.2,1.62E-32,,,472,N₂O/Hg*,,18,13,"Simonaitis, R. and Heicklen, J., J. Chem. Phys., 56, 2004, 1972."
54,O+CO+N₂O→CO₂+N₂O,,2.9,12.1,4.37E-38,,,472,N₂O/Hg*,,18,"7,13","Simonaitis, R. and Heicklen, J., J. Chem. Phys., 56, 2004, 1972."
55,O+CO+M→CO₂+M,,,,,<5.5017163419E-34,0,1500,O₃,(S.T.),19,,"Hardy, W. A., Vasatko, H., Wagner, H. Gg., and Zabel, F., Ber. Bun- senges. Phys. Chem., 78, 76, 1974."
56,O+CO+M→CO₂+M,,2.1,8.8,9.56E-34,,,373,,(T),20,14,"Kondratiev, V. N. and Ptichkin, I. I., Kinet. Katal., 2, 449, 1961."
57,O+CO+M→CO₂+M,,-2.6,-10.8,1.00E-35,,,409,,(T),15,15,"Intezarova, E. I. and Kondratiev, V. N., Kinet. Katal., 9, 395, 1968."
58,O+CO+M→CO₂+M,,2.1,8.8,9.56E-34,,,525,,(T),20,14,"Kondratiev, V. N. and Ptichkin, I. I., Kinet. Katal., 2, 449, 1961."
59,O+CO+M→CO₂+M,,-2.6,-10.8,1.00E-35,,,502,,(T),15,15,"Intezarova, E. I. and Kondratiev, V. N., Kinet. Katal., 9, 395, 1968."
60,O+SO₂+He→SO₃+He,,,,,8.33E-34,0,294,O₂ Discharge,,19,16,"Hardy, W. A., Vasatko, H., Wagner, H. Gg., and Zabel, F., Ber. Bun- senges. Phys. Chem., 78, 76, 1974."
61,O+SO₂+He→SO₃+He,,1.4,5.9,1.07E-31,,,248,O₂ Discharge,,19,16,"Hardy, W. A., Vasatko, H., Wagner, H. Gg., and Zabel, F., Ber. Bun- senges. Phys. Chem., 78, 76, 1974."
62,O+SO₂+He→SO₃+He,,1.4,5.9,1.07E-31,,,415,O₂ Discharge,,19,16,"Hardy, W. A., Vasatko, H., Wagner, H. Gg., and Zabel, F., Ber. Bun- senges. Phys. Chem., 78, 76, 1974."
63,O+SO₂+N₂→SO₃+N₂,,,,,1.32E-33,0,294,O₂ Discharge,,19,16,"Hardy, W. A., Vasatko, H., Wagner, H. Gg., and Zabel, F., Ber. Bun- senges. Phys. Chem., 78, 76, 1974."
64,O+SO₂+N₂O→SO₃+N₂O,,2,8.4,9.13E-32,,,392,N₂O,(P),21,17,"Atkinson, R. and Pitts, J. N., Chem. Phys. Lett., 29, 28, 1974."
65,O+SO₂+N₂O→SO₃+N₂O,,2,8.4,9.13E-32,,,299,N₂O,(P),21,17,"Atkinson, R. and Pitts, J. N., Chem. Phys. Lett., 29, 28, 1974."
66,F+O₂+He→FO₂+He,,,,,5.38E-33,0,298,F₂/O₂/HF,(F.P),21a,17a,"Hao-Lin, Chen, Trainor, D. W., Center, R. E., and Fyfe, W. I., J. Chem. Phys., 66, 5513, 1977."
67,F+O₂+He→FO₂+He,,,,,6.93E-33,0,293,F₂/O₂,,21b,17b,"Arutyunov, V. S., Popov, L. S., and Chaikin, A. M., Kinet. Katal., 17, 268, 1976 (Russian); 17, 251, 1976 (English)."
68,F+O₂+Ar→FO₂+Ar,,,,,8.33E-33,0,298,F₂/O₂/HF,(F.P),21a,17a,"Hao-Lin, Chen, Trainor, D. W., Center, R. E., and Fyfe, W. I., J. Chem. Phys., 66, 5513, 1977."
69,F+O₂+Ar→FO₂+Ar,,,,,6.03E-33,0,293,F₂/O₂,,21b,17b,"Arutyunov, V. S., Popov, L. S., and Chaikin, A. M., Kinet. Katal., 17, 268, 1976 (Russian); 17, 251, 1976 (English)."
70,F+O₂+N₂→FO₂+N₂,,,,,1.41E-32,0,293,F₂/O₂,,21b,17b,"Arutyunov, V. S., Popov, L. S., and Chaikin, A. M., Kinet. Katal., 17, 268, 1976 (Russian); 17, 251, 1976 (English)."
71,F+O₂+O₂→FO₂+O₂,,,,,1.48E-32,0,298,F₂/O₂/HF,(F.P),21a,17a,"Hao-Lin, Chen, Trainor, D. W., Center, R. E., and Fyfe, W. I., J. Chem. Phys., 66, 5513, 1977."
72,F+O₂+F₂→FO₂+F₂,,,,,5.02E-33,0,298,F₂/O₂/HF,(F.P),21a,17a,"Hao-Lin, Chen, Trainor, D. W., Center, R. E., and Fyfe, W. I., J. Chem. Phys., 66, 5513, 1977."
73,F+O₂+HF→FO₂+HF,,,,,2.51E-30,0,298,F₂/O₂/HF,(F.P),21a,17a,"Hao-Lin, Chen, Trainor, D. W., Center, R. E., and Fyfe, W. I., J. Chem. Phys., 66, 5513, 1977."
74,F+O₂+DF→FO₂+DF,,,,,1.26E-30,0,298,F₂/O₂/HF,(F.P),21a,17a,"Hao-Lin, Chen, Trainor, D. W., Center, R. E., and Fyfe, W. I., J. Chem. Phys., 66, 5513, 1977."
75,F+CO+He→COF+He,,,,,3.39E-38,0,298,F₂/He Discharge/CO,,22,,"Appelman, E. N. and Clyne, M. A. A., J. Chem. Soc., Faraday Trans. 1, 71, 2072, 1975."
76,F+CO+Ar→COF+Ar,,,,,5.02E-38,0,298,F₂/Ar Discharge/CO,,22,,"Appelman, E. N. and Clyne, M. A. A., J. Chem. Soc., Faraday Trans. 1, 71, 2072, 1975."
77,F+Xe+Ar→XeF+Ar,,,,,2.29E-39,0,298,F₂/Ar Discharge/CO,,22,,"Appelman, E. N. and Clyne, M. A. A., J. Chem. Soc., Faraday Trans. 1, 71, 2072, 1975."
78,F+Kr+He→KrF+He,,,,,<1.9975524673E-40,0,298,F₂/Ar Discharge/CO,,22,,"Appelman, E. N. and Clyne, M. A. A., J. Chem. Soc., Faraday Trans. 1, 71, 2072, 1975."
79,Cl+O₃+O₂→ClOOO+O₂,,,,,1.38E-37,0,263,Cl₂/O₃/O₂,(P),23,18,"Davidson, R. W. and Williams, D. G., J. Phys. Chem., 77, 2515, 1973."
80,Cl+O₃+He→ClOOO+He,,,,,<2.7573899936E-40,0,263,Cl₂/O₃/He,(P),23,18,"Davidson, R. W. and Williams, D. G., J. Phys. Chem., 77, 2515, 1973."
81,Cl+O₃+M→ClOOO+M,,,,,6.93E-38,0,263,Cl₂/O₃,(P),23,"18,19","Davidson, R. W. and Williams, D. G., J. Phys. Chem., 77, 2515, 1973."
82,2I+H₂→2HI,,-5.3,-22.2,1.74E-34,,,418,H₂/I₂ and H₂/I₂,(P) and (T),24a,"20,21,22","Sullivan, J. H., J. Chem. Phys., 46, 73, 1967."
83,Cl+O₃+O₂→ClOOO+O₂,,,,,1.38E-37,0,273,Cl₂/O₃/O₂,(P),23,18,"Davidson, R. W. and Williams, D. G., J. Phys. Chem., 77, 2515, 1973."
84,Cl+O₃+He→ClOOO+He,,,,,<2.7573899936E-40,0,273,Cl₂/O₃/He,(P),23,18,"Davidson, R. W. and Williams, D. G., J. Phys. Chem., 77, 2515, 1973."
85,Cl+O₃+M→ClOOO+M,,,,,6.93E-38,0,273,Cl₂/O₃,(P),23,"18,19","Davidson, R. W. and Williams, D. G., J. Phys. Chem., 77, 2515, 1973."
86,2I+H₂→2HI,,-5.3,-22.2,1.74E-34,,,738,H₂/I₂ and H₂/I₂,(P) and (T),24a,"20,21,22","Sullivan, J. H., J. Chem. Phys., 46, 73, 1967."
87,Pb+O₂+He→Products,,,,,1.41E-32,0,300,PbEt₄/O₂,(P),24b,22b,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
88,Pb+O₂+N₂→Products,,,,,3.17E-32,0,300,PbEt₄/O₂,(P),24b,22b,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
89,Pb+O₂+CO→Products,,,,,6.46E-32,0,300,PbEt₄/O₂,(P),24b,22b,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
90,Pb+O₂+CO₂→Products,,,,,3.17E-32,0,300,PbEt₄/O₂,(P),24b,22b,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
91,Pb+O₂+CH₄→Products,,,,,3.09E-31,0,300,PbEt₄/O₂,(P),24b,22b,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
92,Pb+O₂+CF₄→Products,,,,,3.89E-32,0,300,PbEt₄/O₂,(P),24b,22b,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
93,Pb+O₂+SF₆→Products,,,,,2.09E-32,0,300,PbEt₄/O₂,(P),24b,22b,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
94,Pb+O₂+C₂H₆→Products,,,,,2.69E-30,0,300,PbEt₄/O₂,(P),24b,22b,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
95,Pb+O₂+C₂H₂→Products,,,,,1.18E-30,0,300,PbEt₄/O₂,(P),24b,22b,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
96,Pb+O₂+C₂H₄→Products,,,,,5.76E-28,0,300,PbEt₄/O₂,(P),24b,22b,"Cross, P. J. and Husain, D., J. Photochem., 7, 157, 1977."
97,Sb+O₂+He→Products,,,,,2.19E-31,0,294,SbMe₃,(P),24c,22c,"Husain, D. and Slater, N. K. H., J. Photochem., 7, 59, 1977."
98,Sb+O₂+N₂→Products,,,,,3.17E-31,0,294,SbMe₃,(P),24c,22c,"Husain, D. and Slater, N. K. H., J. Photochem., 7, 59, 1977."
99,Sb+O₂+SF₆→Products,,,,,3.63E-31,0,294,SbMe₃,(P),24c,22c,"Husain, D. and Slater, N. K. H., J. Photochem., 7, 59, 1977."
100,Sb+O₂+He→Products,,,,,3.63E-31,0,294,SbMe₃,(P),24c,22c,"Husain, D. and Slater, N. K. H., J. Photochem., 7, 59, 1977."
101,Sb+C₂H₂+He→Products,,,,,9.34E-33,0,294,SbMe₃,(P),24c,22c,"Husain, D. and Slater, N. K. H., J. Photochem., 7, 59, 1977."
102,Sb+C₂H₂+N₂→Products,,,,,1.00E-32,0,294,SbMe₃,(P),24c,22c,"Husain, D. and Slater, N. K. H., J. Photochem., 7, 59, 1977."
103,Sb+C₂H₂+SF₆→Products,,,,,1.20E-32,0,294,SbMe₃,(P),24c,22c,"Husain, D. and Slater, N. K. H., J. Photochem., 7, 59, 1977."
104,Sb+C₂H₄+He→Products,,,,,1.00E-32,0,294,SbMe₃,(P),24c,22c,"Husain, D. and Slater, N. K. H., J. Photochem., 7, 59, 1977."
105,Sb+C₂H₄+N₂→Products,,,,,1.10E-32,0,294,SbMe₃,(P),24c,22c,"Husain, D. and Slater, N. K. H., J. Photochem., 7, 59, 1977."
106,Sb+C₂H₄+SF₆→Products,,,,,1.15E-32,0,294,SbMe₃,(P),24c,22c,"Husain, D. and Slater, N. K. H., J. Photochem., 7, 59, 1977."
107,Bi+C₂H₂+He→Products,,,,,1.10E-33,0,293,BiMe₃,(P),24d,22d,"Husain, D. and Slater, N. K. H., J. Photochem., 6, 325, 1977."
108,Bi+C₂H₂+N₂→Products,,,,,7.42E-33,0,293,BiMe₃,(P),24d,22d,"Husain, D. and Slater, N. K. H., J. Photochem., 6, 325, 1977."
109,Bi+C₂H₂+SF₆→Products,,,,,6.46E-33,0,293,BiMe₃,(P),24d,22d,"Husain, D. and Slater, N. K. H., J. Photochem., 6, 325, 1977."
110,Bi+C₂H₄+He→Products,,1,4,1.59E-32,,,293-600,BiMe₃,(P),24d,22d,"Husain, D. and Slater, N. K. H., J. Photochem., 6, 325, 1977."
111,Bi+C₂H₄+He→Products,,,,,3.09E-33,0,293,BiMe₃,(P),24d,22d,"Husain, D. and Slater, N. K. H., J. Photochem., 6, 325, 1977."
112,Bi+C₂H₄+N₂→Products,,,,,8.14E-33,0,293,BiMe₃,(P),24d,22d,"Husain, D. and Slater, N. K. H., J. Photochem., 6, 325, 1977."
113,Bi+C₂H₄+SF₆→Products,,,,,1.78E-32,0,293,BiMe₃,(P),24d,22d,"Husain, D. and Slater, N. K. H., J. Photochem., 6, 325, 1977."
114,HO+SO₂+Ar→HSO₃+Ar,,,,,4.47E-31,0,298,H+NO₂→HO+NO,,25,23,"Harris, G. W. and Wayne, R. P., J. Chem. Soc., Faraday Trans. 1, 71, 610, 1975."
115,HO+SO₂+Ar→HSO₃+Ar,,,,,1.62E-31,0,298,H₂O,(F.P.),65,49,"Atkinson, R., Perry, R. A., and Pitts, J. N., J. Chem. Phys., 65, 306, 1976."
116,HO+SO₂+N₂→HSO₃+N₂,,,,,7.42E-31,0,298,H+NO₂→HO+NO,,25,23,"Harris, G. W. and Wayne, R. P., J. Chem. Soc., Faraday Trans. 1, 71, 610, 1975."
117,HO+SO₂+N₂→HSO₃+N₂,,,,,1.59E-31,0,298,H₂O/SO₂/CO,(P),26,23a,"Castleman, A. W., Jr. and Tang, I. N., J. Photochem., 6, 349, 1977."
118,HO+SO₂+M→HSO₃+M,,,,,1.00E-36,0,298,H₂O/SO₂/CO/N₂,(P),27,25,"Castleman, A. W., Davis, R. E., Munkelwitz, H. R., Tang, I. N., and Wood, W. P., Int. J. Chem. Kinet. Symp., 1, 629, 1975."
119,HO+SO₂+M→HSO₃+M,,,,,1.00E-36,0,300,HONO/N₂/O₂,(P),28,26,"Cox, R. A., Int. J. Chem. Kinet. Symp., 1, 379, 1975."
120,HO+SO₂+H₂O→Products,,,,,3.03E-36,0,435,H₂O,,29,27,"Gordon, S. and Mulac, W. A., Int. J. Chem. Kinet. Symp., 1, 289, 1975."
121,NO+NO+O₂→2NO₂,,,,,3.99E-38,0,298,NO₂/O₂/N₂,(P),30,,"Stedman, D. H. and Niki, H., J. Phys. Chem., 77, 2604, 1973."
122,NO+NO+O₂→2NO₂,,,,,8.33E-39,0,478,NO₂/O₂,(T),37,30,"Morecroft, M. J. and Thomas, J. H., J. Phys. Chem., 71, 1543, 1967."
123,NO+NO+O₂→2NO₂,,,,,2.00E-39,0,298,NO₂/O₂,(T),33,31,"Johnston, H. S. and Slentz, L. W., J. Am. Chem. Soc., 73, 2948, 1951."
124,NO+NO+O₂→2NO₂,,-0.95,-3.97,,,,293-372,NO₂/O₂/N₂,(T),"34,35",,"Greig, J. D. and Hall, P. G., Trans. Faraday Soc., 63, 655, 1967. , Hall, P. G. and Greig, J. D., Chem. Comm., 326, 1966."
125,NO+NO+O₂→2NO₂,,,,,5.50E-38,0,293,NO₂/O₂/N₂,(T),"34,36","28,29","Greig, J. D. and Hall, P. G., Trans. Faraday Soc., 63, 655, 1967. , Greig, J. D. and Hall, J. D., Trans. Faraday Soc., 62, 652, 1966."
126,NO+NO+O₂→2NO₂,,,,,8.72E-39,0,478-593,NO₂/O₂/N₂,(T),37,,"Morecroft, M. J. and Thomas, J. H., J. Phys. Chem., 71, 1543, 1967."
127,NO+NO+O₂→2NO₂,,,,,8.52E-39,0,478-593,NO₂/O₂/N₂,(T),37,30,"Morecroft, M. J. and Thomas, J. H., J. Phys. Chem., 71, 1543, 1967."
128,NO+NO+O₂→2NO₂,,,,,1.38E-37,0,298,NO₂/γ-radiolysis,,38,31,"Dmitriev, L. A., Kamenetskaya, S. A., and Pshezhetskii, S. Ya., Khim. Vys. Energ., 1, 205, 1967."
129,NO+NO+O₂→2NO₂,,,,,1.38E-37,0,298,NO₂/γ-radiolysis,,38,"30,32","Dmitriev, L. A., Kamenetskaya, S. A., and Pshezhetskii, S. Ya., Khim. Vys. Energ., 1, 205, 1967."
130,NO+NO+O₂→2NO₂,,,,,8.33E-38,0,298,NO₂/γ-radiolysis,,38,"31,32","Dmitriev, L. A., Kamenetskaya, S. A., and Pshezhetskii, S. Ya., Khim. Vys. Energ., 1, 205, 1967."
131,NO+NO+O₂→2NO₂,,,,,7.25E-38,0,298,NO₂/γ-radiolysis,,38,33,"Dmitriev, L. A., Kamenetskaya, S. A., and Pshezhetskii, S. Ya., Khim. Vys. Energ., 1, 205, 1967."
132,NO+NO+O₂→2NO₂,,-1.05,-4.38,6.61E-39,,,273-600,,,39,34,"Baulch, D. L., Drysdale, D. D., and Horne, D. G., High Temperature Re- action Rate Data, Rep. No. 5, University of Leeds, July 1970."
133,CH₃+O₂+N₂→CH₃O₂+N₂,,,,,3.09E-31,0,294,(CH₃N)₂,(P),61,35,"Parkes, D. A., Int. J. Chem. Kinet., 9, 451, 1977."
134,CH₃+O₂+(CH₃)₄C→CH₃O₂+(CH₃)₄C,,,,,1.52E-30,0,294,(CH₃N)₂,(P),61,36,"Parkes, D. A., Int. J. Chem. Kinet., 9, 451, 1977."
135,CH₃+O₂+M→CH₃O₂+M,,,,,See Note,,295,(CH₃)₂N₂/O₂,(F.P.),39a,37,"Hochanadel, C. J., Ghormley, J. A., Boyle, J. W., and Ogren, P. J., J. Phys. Chem., 81, 3, 1977."
136,NO+NO₂+H₂O→2HONO,,,,,6.03E-38,0,296,HONO/NOₓ/H₂O,(P),"62,63",46,"Chan, W. C., Nordstrom, R. J., Calvert, J. G., and Shaw, J. H., Chem. Phys. Lett., 37, 441, 1976. , Chan, W. C., Nordstrom, R. J., Calvert, J. G., and Shaw, J. H., Environ. Sci. Technol., 10, 674, 1976."
137,2NO+Cl₂→2NOCl,,4.2,17.56,6.93E-38,,,,,,"41,42",46,"Trotman-Dickenson, A. F., Gas Kinetics, Butterworths, London, 1955, 265, Welinsky, I. and Taylor, H. A., J. Chem. Phys., 6, 466, 1938."
138,2NO+Cl₂→2NOCl,,6,25.1,6.93E-37,,,373-523,NO/Cl₂,(T),43,37a,"Ashmore, P. G. and Spencer, M. S., Trans. Faraday Soc., 55, 1868, 1959."
139,2NO+Cl₂→2NOCl,,4.5,18.8,1.15E-37,,,278-338,NO/Cl₂,(T),40,47,"Hisatsune, I. C. and Zafonte, L., J. Phys. Chem., 73, 2980, 1969."
140,2NO+Cl₂→2NOCl,,,,,5.25E-41,0,298,NO/Cl₂,(T),40,38,"Hisatsune, I. C. and Zafonte, L., J. Phys. Chem., 73, 2980, 1969."
