Reaction,(E/R)/K,A,k,n,Temp./K,Radical Source,System,Reference,Notes
F+O₂ + M → FO₂ + M ,,,1.10E-32,0,Room Temp.,WF₆/H₂/O₂/He (Laser F.P.),Direct,47,76
F+O₂ + M → FO₂ + M ,,,5.76E-33,0,291,,,63,"30,65"
F+O₂ + M → FO₂ + M ,,,1.60E-32,-1.4,200,,,59,"30,57,64"
F+O₂ + M → FO₂ + M ,,,1.30E-32,-1.4,200,,,58,"30,64,87"
F+O₂ + M → FO₂ + M ,,,5.50E-35,0,200,,,58,"30,44,52"
F+O₂ + M → FO₂ + M ,,,5.76E-33,0,300,,,63,"30,65"
F+O₂ + M → FO₂ + M ,,,1.60E-32,-1.4,300,,,59,"30,57,64"
F+O₂ + M → FO₂ + M ,,,1.30E-32,-1.4,300,,,58,"30,64,87"
F+O₂ + M → FO₂ + M ,,,5.50E-35,0,300,,,58,"30,44,52"
F+CO+He→COF+He,,,5.50E-32,0,295,,,63,30
Cl+O₂+M → ClO₂+M,,,2.29E-34,0,298,Cl₂/H₂/O₂ (F.P.),Relative,"14,24",14
Cl+O₂+M → ClO₂+M,,,2.01E-33,-1.4,200,,,59,"30,57,64"
Cl+O₂+M → ClO₂+M,,,2.01E-33,-1.4,300,,,59,"30,57,64"
Cl+SO₂+Ar→ClSO₂+Ar,,,1.29E-33,0,295,Cl₂ discharge,Direct,9,9
Cl+SO₂+N₂→ClSO₂+N₂,,,2.29E-33,0,295,Cl₂ discharge,Direct,9,9
Cl+SO₂+SO₂→ClSO₂+SO₂,,,1.91E-32,0,295,Cl₂ discharge,Direct,9,9
Na+O₂+He→NaO₂+He,,,5.50E-31,0,724,NaI (F.P.),Direct,25,"32,33"
Na+O₂+N₂→NaO₂+N₂,,,1.00E-30,0,724,NaI (F.P.),Direct,25,"32,33"
Na+O₂+CO₂→NaO₂+CO₂,,,2.19E-30,0,724,NaI (F.P.),Direct,25,"32,33"
K+O₂+He→KO₂+He,,,9.93E-28,-1,753,KI (F.P.),Direct,26,34
K+O₂+N₂→KO₂+N₂,,,1.71E-27,-1,753,KI (F.P.),Direct,26,34
K+O₂+CO₂→KO₂+CO₂,,,5.51E-27,-1,753,KI (F.P.),Direct,26,34
Na+O₂+He→NaO₂+He,,,5.50E-31,0,844,NaI (F.P.),Direct,25,"32,33"
Na+O₂+N₂→NaO₂+N₂,,,1.00E-30,0,844,NaI (F.P.),Direct,25,"32,33"
Na+O₂+CO₂→NaO₂+CO₂,,,2.19E-30,0,844,NaI (F.P.),Direct,25,"32,33"
K+O₂+He→KO₂+He,,,9.93E-28,-1,873,KI (F.P.),Direct,26,34
K+O₂+N₂→KO₂+N₂,,,1.71E-27,-1,873,KI (F.P.),Direct,26,34
K+O₂+CO₂→KO₂+CO₂,,,5.51E-27,-1,873,KI (F.P.),Direct,26,34
CH₃+O₂+M→CH₃O₂+M,,,"[2.7573899936E-32,5.5017163419E-32 ]",0,295,F₂/CH₄/O₂ (T),Direct,51,
CH₃+O₂+M→CH₃O₂+M,,,1.59E-31,0,298,O+C₂H₄ → CH₃ + HCO,Relative,19,21
CH₃+O₂+M→CH₃O₂+M,,,3.39E-31,0,295,F+CH₄ → CH₃ + HF,Direct,27,35
CH₃+O₂+M→CH₃O₂+M,,,5.51E-31,-2,200,,,"58,59","57,86,87"
CH₃+O₂+M→CH₃O₂+M,,,3.31E-36,-1.7,200,,,59,"30,52,57"
CH₃+O₂+M→CH₃O₂+M,,,3.02E-36,0,200,,,58,"30,44,52"
CH₃+O₂+M→CH₃O₂+M,,,5.51E-31,-2,300,,,"58,59","57,86,87"
CH₃+O₂+M→CH₃O₂+M,,,3.31E-36,-1.7,300,,,59,"30,52,57"
CH₃+O₂+M→CH₃O₂+M,,,3.02E-36,0,300,,,58,"30,44,52"
CH₃+CO+M→CH₃CO+M,,,3.02E-42,0,298,(CH₃)₂N₂ (Modulated P),Relative,34,"44,45,46"
CH₃+CO+M→CH₃CO+M,,,1.10E-41,0,298,(CH₃)₂N₂ (Modulated P),See Notes,54,"44,45,47"
CH₃+CO+M→CH₃CO+M,3020,2.00E-37,,0,263,(CH₃)₂N₂ (Modulated P),See Notes,54,"80,82,83"
CH₃+CO+M→CH₃CO+M,3020,2.00E-37,,0,343,(CH₃)₂N₂ (Modulated P),See Notes,54,"80,82,83"
CH₃+CO+M→CH₃CO+M,,,5.76E-36,0,303,(CH₃)₂N₂ (Modulated P),See Notes,54,"64,82,83"
CH₃+CO+M→CH₃CO+M,,,2.63E-41,0,303,(CH₃)₂N₂ (Modulated P),See Notes,54,"44,52,82,83"
CH₃+CO+M→CH₃CO+M,,,1.07E-35,0,343,(CH₃)₂N₂ (Modulated P),See Notes,54,"64,82,83"
CH₃+CO+M→CH₃CO+M,,,9.56E-41,0,343,(CH₃)₂N₂ (Modulated P),See Notes,54,"44,52,82,83"
CH₃+SO₂+M→CH₃SO₂+M,,,<=1.3819686629E-36,0,Room Temp.,CH₃N₂CH₃ (P),Relative,43,"39,44,67"
CF₃+O₂+M→CF₃O₂+M,,,1.66E-35,0,300,CF₃Cl (Pulse radiolysis),Direct,18,"18,19"
CF₃+O₂+M→CF₃O₂+M,,,1.78E-29,0,295,CF₄ discharge ,Direct,28,"35,36"
CCl₃+O₂+M→CCl₃O₂+M,,,8.52E-36,0,300,CCl₄ (Pulse radiolysis),Direct,18,"18,20"
HCO+O₂+CO→HCOO₂+H₂+CO,,,>=1.0977367285E-30,0,298,H₂CO/O₂ (P),Relative,50,78
CH₃O+SO₂+M → CH₃OSO₂ +M,,,8.72E-37,0,Room Temp.,CH₃ONO (P),Direct,43,"39,44,68"
CH₃O₂+SO₂+M → CH₃O₂SO₂ +M,,,2.19E-38,0,Room Temp.,CH₃N₂CH₃/O₂ (F.P.),See Notes,43,"15,39"
C₂H₅+O₂+M→C₂H₅O₂+M,,,7.42E-29,0,295,Cl+C₂H₆+C₂H₅+HCl,Direct,42,"64,65,66"
